Sample,Scolelepis,Nephthys,Ophelia,Eteone,Angulus tenuis,Bathyporeia,Urothoe,Haustorius
1A,1,3,0,0,58,8,5,2
1B,4,,,,47,12,4,
1C,0,3,1,2,61,6,7,0
1D,0,5,0,2,72,1,11,0
2A,1,2,0,4,33,5,3,4
2B,,2,,7,56,3,5,1
2C,0,0,0,1,32,5,2,1
2D,0,1,0,0,44,4,7,1
3A,0,6,0,1,39,2,7,1
3B,1,1,1,1,29,5,2,1
3C,2,0,0,1,31,5,6,7
3D,,1,3,,40,9,,
4A,,2,,7,37,30,5,2
4B,0,2,0,0,30,7,0,5
4C,,1,1,,46,25,16,1
4D,4,,,,40,23,21,
5A,1,3,0,5,25,10,15,1
5B,0,4,0,1,45,15,10,3
5C,,2,,,18,15,7,1
5D,,1,,,33,28,16,1
6A,3,1,,,43,9,15,3
6B,,2,,3,24,13,27,6
6C,,,4,2,33,11,,24
6D,,,2,1,24,11,,8
7A,2,,3,4,30,5,18,1
7B,,4,4,1,22,6,8,
7C,1,,2,1,32,3,13,2
7D,2,2,8,3,30,8,22,
8A,5,1,12,3,18,4,15,
8B,1,2,1,1,25,2,21,3
8C,2,1,1,,24,1,10,1
8D,,,10,1,26,7,27,1
9A,,,,,3,1,7,
9B,2,2,1,,14,3,10,
9C,29,,27,,20,3,,
9D,3,1,21,2,15,1,5,
10A,2,2,19,1,17,0,4,1
10B,7,3,37,1,17,1,,1
10C,0,0,18,0,12,3,7,0
10D,0,4,41,0,12,10,0,0
11A,21,1,22,5,11,5,6,0
11B,9,,9,4,10,1,,
11C,15,,20,,12,1,,
11D,10,2,23,2,15,5,,
12A,12,4,56,,14,2,4,1
12B,19,,104,3,21,2,9,
12C,7,6,62,5,16,6,0,3
12D,2,0,54,0,14,2,3,0
13A,17,,42,,18,5,,1
13B,7,3,61,,12,4,8,3
13C,12,3,52,0,15,4,8,2
13D,4,2,39,,11,1,,
14A,15,4,64,,19,1,2,
14B,5,8,86,4,16,2,1,1
14C,12,0,94,0,13,2,0,0
14D,14,3,74,,16,3,6,3
15A,1,0,78,4,13,2,0,0
15B,3,2,77,0,10,3,2,3
15C,4,1,80,0,8,5,1,0
15D,3,3,74,0,12,1,4,5
16A,3,9,50,3,8,6,0,0
16B,2,,51,,6,2,,
16C,3,,46,1,9,1,,
16D,3,,70,6,8,14,,
17A,3,1,45,2,1,14,1,1
17B,8,,164,11,5,45,6,2
17C,4,1,63,,,5,,
17D,12,4,80,2,4,6,0,0
18A,11,,77,1,3,51,0,0
18B,,,63,3,8,9,,
18C,5,2,82,2,3,33,12,8
18D,10,3,83,5,6,25,7,13
