Sample,Bathyporeia,Urothoe,Haustorius
1A,8,5,2
1B,12,4,
1C,6,7,0
1D,1,11,0
2A,5,3,4
2B,3,5,1
2C,5,2,1
2D,4,7,1
3A,2,7,1
3B,5,2,1
3C,5,6,7
3D,9,,
4A,30,5,2
4B,7,0,5
4C,25,16,1
4D,23,21,
5A,10,15,1
5B,15,10,3
5C,15,7,1
5D,28,16,1
6A,9,15,3
6B,13,27,6
6C,11,,24
6D,11,,8
7A,5,18,1
7B,6,8,
7C,3,13,2
7D,8,22,
8A,4,15,
8B,2,21,3
8C,1,10,1
8D,7,27,1
9A,1,7,
9B,3,10,
9C,3,,
9D,1,5,
10A,0,4,1
10B,1,,1
10C,3,7,0
10D,10,0,0
11A,5,6,0
11B,1,,
11C,1,,
11D,5,,
12A,2,4,1
12B,2,9,
12C,6,0,3
12D,2,3,0
13A,5,,1
13B,4,8,3
13C,4,8,2
13D,1,,
14A,1,2,
14B,2,1,1
14C,2,0,0
14D,3,6,3
15A,2,0,0
15B,3,2,3
15C,5,1,0
15D,1,4,5
16A,6,0,0
16B,2,,
16C,1,,
16D,14,,
17A,14,1,1
17B,45,6,2
17C,5,,
17D,6,0,0
18A,51,0,0
18B,9,,
18C,33,12,8
18D,25,7,13
